ObjectId,pasport,sl_,elektricka,trolejbus,autobus,mestska_cast,zastavka_nazov,zastavka_smer,x,y
235,121,4,False,False,True,Košice - Nad jazerom,Levočská,smer od Bukovecká,21.2800102233886,48.6901588439941
236,121,5,False,False,True,Košice - Nad jazerom,Levočská,smer od VSS na Dneperskú,21.2799091339111,48.6899604797363
237,121,6,False,False,True,Košice - Nad jazerom,Levočská,smer od VSS križovatka k Bukoveckej,21.2775001525878,48.6902503967285
238,122,1,False,False,True,Košice - Nad jazerom,Bukovecká,smer Dneperská,21.2800598144531,48.6918296813964
239,122,2,False,False,True,Košice - Juh,Bukovecká,smer VSS križovatka,21.2801208496093,48.6928405761718
240,122,3,False,False,True,Košice - Nad jazerom,Bukovecká,smer Tepláreň,21.2804508209228,48.6938400268554
241,123,1,False,True,True,Košice - Dargovských hrdinov,Postupimská,smer Zupkova,21.289249420166,48.7323188781738
242,123,2,False,True,True,Košice - Dargovských hrdinov,Postupimská,"smer Darg.hrdinov, MiÚ",21.2889347076416,48.7321815490722
243,124,1,False,False,True,Košice - Západ,"Moldavská, OC",smer Pereš,21.2378902435302,48.6994094848632
244,124,2,False,False,True,Košice - Juh,"Moldavská, OC",smer SOŠ automobilová,21.2397499084472,48.7009201049804
245,124,3,False,False,True,Košice - Západ,"Moldavská, OC",smer DPMK (Popradská ul.),21.2376194000244,48.700698852539
246,124,4,True,False,False,Košice - Západ,"Moldavská, OC",smer Pereš,21.2384700775146,48.6997718811035
247,124,5,True,False,False,Košice - Juh,"Moldavská, OC",smer SOŠ automobilová,21.2384700775146,48.6997718811035
248,124,6,False,False,True,Košice - Juh,"Moldavská, OC","smer Pri pracchárni,OC (pri OBI)",21.2400493621826,48.6987113952636
249,125,1,True,False,False,Košice - Západ,Obchodné centrum Optima,smer Perešská,21.2355403900146,48.6965293884277
250,125,2,True,False,False,Košice - Západ,Obchodné centrum Optima,smer od Perešská,21.2359294891357,48.6969108581542
251,125,3,False,False,True,Košice - Juh,Obchodné centrum Optima,smer Luník VIII,21.2365093231201,48.6962394714355
252,125,4,False,False,True,Košice - Juh,Obchodné centrum Optima,konečná,21.2361602783203,48.6960906982421
253,125,5,True,False,False,Košice - Západ,Obchodné centrum Optima,konečná,21.2356719970703,48.696792602539
254,125,6,True,False,False,Košice - Západ,Obchodné centrum Optima,konečná,21.2355403900146,48.6965293884277
255,125,7,False,False,True,Košice - Juh,Obchodné centrum Optima,smer OC Baumax (l.č.20),21.2375545501708,48.6968383789062
256,125,8,False,False,True,Košice - Západ,Obchodné centrum Optima,smer Perešská (+výluková),21.2355899810791,48.6968383789062
257,125,9,False,False,True,Košice - Juh,Obchodné centrum Optima,smer Perešská (pri Lyžiarskom dome),21.2372493743896,48.69673538208
